,time,soc,curr,volt
505,50:26.0,72,2.3,348.3
506,50:33.8,72,3.2,348
507,50:41.5,72,3.7,348.3
508,50:49.6,72,3,348
509,50:57.3,72,3.1,348.3
510,51:05.3,72,2.6,348.3
511,51:12.8,72,3.2,348.3
512,51:20.3,72,3.3,348.4
513,51:27.8,72,3.2,348
514,51:35.3,72,3.3,348.4
515,51:43.3,72,3.2,348.3
516,51:51.3,72,3.3,348.4
517,51:59.3,72,3,348.4
518,52:06.8,72,3.1,348.2
519,52:14.4,72,3.4,348.3
520,52:22.6,72,7,347.9
521,52:30.2,72,10.9,347.8
522,52:37.7,72,1.4,348.2
523,52:45.3,72,-6.9,348.7
524,52:52.8,72,6.2,348.2
525,53:00.3,72,43.9,345.6
526,53:08.0,72,37.1,346.2
527,53:15.8,72,33.1,346.4
528,53:23.9,72,59.5,344.9
529,53:31.8,71.5,-1.4,348.1
530,53:39.4,71.5,8.5,347.3
531,53:52.4,71.5,20.9,347.1
532,54:00.4,71.5,0.8,347.6
533,54:07.9,71.5,10.7,347.4
534,54:15.4,71.5,3.2,347.7
535,54:24.1,71.5,-3.2,348.1
536,54:31.9,71.5,-4.4,348.2
537,54:46.8,71.5,29.7,345.8
538,55:00.8,71.5,26.6,346.3
539,55:16.2,71.5,29.9,346.3
540,55:32.6,71.5,30.1,346
541,55:48.7,71.5,24.3,346.1
542,56:02.5,71.5,20,345.9
543,56:18.6,71.5,24.9,345.9
544,56:35.1,71.5,3.2,347
545,56:49.0,71.5,3.5,347.1
546,57:02.8,71.5,2.4,347.2
547,16:36.2,71.5,3.8,348.2
548,16:50.3,71.5,3.6,348.2
549,17:04.3,71.5,2.9,348.2
550,17:18.2,71.5,3.8,348
551,17:32.2,71,4.8,347.9
552,17:46.1,71,5.4,347.8
553,18:00.3,71,5.6,347.7
554,18:14.4,71,5.3,347.7
555,18:28.4,71,5.4,347.6
556,18:43.2,71,7.9,347.4
557,18:56.8,71,3.2,347.7
558,19:11.0,71,-9.6,348.3
559,19:24.8,71,-10,348.4
560,19:38.8,71,-0.3,348
561,19:53.0,71,29.8,346.2
562,20:06.6,71,26,346.5
563,20:20.6,71,-43.2,350.1
564,20:34.5,71,-3,347.6
565,20:48.4,71,-2.7,347.6
566,21:02.1,71,-14.7,348.2
567,21:15.8,71,2,347.4
568,21:29.5,71,2.5,347.4
569,21:43.4,71,2.7,347.3
570,21:57.3,71,2.5,347.5
571,22:11.1,71,2.8,347.4
572,22:18.8,71,2.9,347.4
573,22:26.3,71,3.2,347.4
574,22:34.0,71,3.5,347.4
575,22:41.2,71,3.9,347.3
576,22:48.8,71,4,347.3
577,22:56.3,71,4.5,347.3
578,23:03.8,71,4.6,347.2
579,23:11.4,71,4.9,347.2
580,23:18.8,71,5,347.2
581,23:26.3,71,5.1,347.1
582,23:33.8,71,5.4,347.1
583,23:41.3,71,-7.1,347.6
584,23:49.1,71,0,347.1
585,24:13.9,70.5,34.4,344.8
586,24:21.7,70.5,33.3,345.1
